place_id,place_name,review Length (raw),cleaned review Length,Lexical Diversity
ChIJqyAL5O5CkYARsTP-dsAIVY4,Golden Valley Health Centers - Women's Health,249,106,0.7075471698113207
ChIJqyAL5O5CkYARsTP-dsAIVY4,Golden Valley Health Centers - Women's Health,17,5,1.0
ChIJqyAL5O5CkYARsTP-dsAIVY4,Golden Valley Health Centers - Women's Health,131,52,0.6923076923076923
ChIJqyAL5O5CkYARsTP-dsAIVY4,Golden Valley Health Centers - Women's Health,345,136,0.7426470588235294
ChIJ3cCPg3kHhYAR6-nA8PiUsAQ,Discover Health,147,63,0.8095238095238095
ChIJ3cCPg3kHhYAR6-nA8PiUsAQ,Discover Health,47,22,0.8636363636363636
ChIJ3cCPg3kHhYAR6-nA8PiUsAQ,Discover Health,39,17,1.0
ChIJ3cCPg3kHhYAR6-nA8PiUsAQ,Discover Health,19,7,1.0
ChIJ3cCPg3kHhYAR6-nA8PiUsAQ,Discover Health,45,24,0.9583333333333334
ChIJa6_eZw_76oARVw79xc5OPj0,Elmo Pediatrics & Family Walk-in Clinic,7,4,1.0
ChIJLVHlsORj24ARuOW6pa3HLuo,Urgent Care | Kaiser Permanente Murrieta Medical Offices,64,30,0.9666666666666667
ChIJLVHlsORj24ARuOW6pa3HLuo,Urgent Care | Kaiser Permanente Murrieta Medical Offices,61,21,0.9523809523809523
ChIJLVHlsORj24ARuOW6pa3HLuo,Urgent Care | Kaiser Permanente Murrieta Medical Offices,234,97,0.6391752577319587
ChIJLVHlsORj24ARuOW6pa3HLuo,Urgent Care | Kaiser Permanente Murrieta Medical Offices,47,19,0.7894736842105263
ChIJLVHlsORj24ARuOW6pa3HLuo,Urgent Care | Kaiser Permanente Murrieta Medical Offices,62,25,0.92
ChIJG53Qr-0hm4ARK4bCr2MbwQE,MDSTAT Urgent Care Roseville,60,32,0.90625
ChIJG53Qr-0hm4ARK4bCr2MbwQE,MDSTAT Urgent Care Roseville,33,16,1.0
ChIJG53Qr-0hm4ARK4bCr2MbwQE,MDSTAT Urgent Care Roseville,125,52,0.8269230769230769
ChIJG53Qr-0hm4ARK4bCr2MbwQE,MDSTAT Urgent Care Roseville,41,18,0.9444444444444444
ChIJG53Qr-0hm4ARK4bCr2MbwQE,MDSTAT Urgent Care Roseville,36,17,0.8823529411764706
ChIJJe89PqK53IARPkz4-ebuS6I,Riverside Medical Clinic Urgent Care,73,31,0.9032258064516129
ChIJJe89PqK53IARPkz4-ebuS6I,Riverside Medical Clinic Urgent Care,19,13,1.0
ChIJJe89PqK53IARPkz4-ebuS6I,Riverside Medical Clinic Urgent Care,145,57,0.8245614035087719
ChIJJe89PqK53IARPkz4-ebuS6I,Riverside Medical Clinic Urgent Care,60,29,0.8275862068965517
ChIJJe89PqK53IARPkz4-ebuS6I,Riverside Medical Clinic Urgent Care,18,7,1.0
ChIJs91V5Zh0hYARP5Kr2EWpHAQ,Mare Island VA Clinic,103,45,0.6888888888888889
ChIJs91V5Zh0hYARP5Kr2EWpHAQ,Mare Island VA Clinic,43,19,0.8947368421052632
ChIJs91V5Zh0hYARP5Kr2EWpHAQ,Mare Island VA Clinic,103,48,0.7708333333333334
ChIJs91V5Zh0hYARP5Kr2EWpHAQ,Mare Island VA Clinic,50,24,0.7916666666666666
ChIJs91V5Zh0hYARP5Kr2EWpHAQ,Mare Island VA Clinic,758,279,0.6379928315412187
ChIJd7D0Vj-7woAR69gtSBzXF0w,Carbon Health Urgent Care Marina Del Rey - Washington Blvd,42,18,0.9444444444444444
ChIJd7D0Vj-7woAR69gtSBzXF0w,Carbon Health Urgent Care Marina Del Rey - Washington Blvd,94,40,0.925
ChIJd7D0Vj-7woAR69gtSBzXF0w,Carbon Health Urgent Care Marina Del Rey - Washington Blvd,62,29,0.9655172413793104
ChIJd7D0Vj-7woAR69gtSBzXF0w,Carbon Health Urgent Care Marina Del Rey - Washington Blvd,48,22,0.9090909090909091
ChIJd7D0Vj-7woAR69gtSBzXF0w,Carbon Health Urgent Care Marina Del Rey - Washington Blvd,43,16,0.875
ChIJ1XaKP1vamoAR4jrag414H84,Allmed Medical Center,110,42,0.8333333333333334
ChIJ1XaKP1vamoAR4jrag414H84,Allmed Medical Center,129,50,0.8
ChIJ1XaKP1vamoAR4jrag414H84,Allmed Medical Center,93,44,0.9318181818181818
ChIJ1XaKP1vamoAR4jrag414H84,Allmed Medical Center,219,88,0.8522727272727273
ChIJ1XaKP1vamoAR4jrag414H84,Allmed Medical Center,188,74,0.8648648648648649
ChIJzwpJeApA6YAR4OXl2pUFcQs,Sansum Clinic Goleta Family Medicine,33,13,0.8461538461538461
ChIJzwpJeApA6YAR4OXl2pUFcQs,Sansum Clinic Goleta Family Medicine,41,22,0.9090909090909091
ChIJzwpJeApA6YAR4OXl2pUFcQs,Sansum Clinic Goleta Family Medicine,42,24,0.9166666666666666
ChIJzwpJeApA6YAR4OXl2pUFcQs,Sansum Clinic Goleta Family Medicine,19,8,0.875
ChIJzwpJeApA6YAR4OXl2pUFcQs,Sansum Clinic Goleta Family Medicine,23,8,0.875
ChIJky1CNaVQmoARJZj6wbyCniI,Marshall Emergency Department,18,8,1.0
ChIJky1CNaVQmoARJZj6wbyCniI,Marshall Emergency Department,51,23,0.8695652173913043
ChIJky1CNaVQmoARJZj6wbyCniI,Marshall Emergency Department,37,16,1.0
ChIJky1CNaVQmoARJZj6wbyCniI,Marshall Emergency Department,76,35,0.9714285714285714
ChIJky1CNaVQmoARJZj6wbyCniI,Marshall Emergency Department,82,33,0.9393939393939394
ChIJP5Or96l73IARU0dZihrks2s,Smart Clinic,34,18,0.9444444444444444
ChIJP5Or96l73IARU0dZihrks2s,Smart Clinic,5,3,1.0
ChIJpRm_M2GAhYAREu3rUbBzhac,One Medical Primary Care Clinic - Four Embarcadero Center,293,122,0.6557377049180327
ChIJpRm_M2GAhYAREu3rUbBzhac,One Medical Primary Care Clinic - Four Embarcadero Center,38,17,1.0
ChIJpRm_M2GAhYAREu3rUbBzhac,One Medical Primary Care Clinic - Four Embarcadero Center,76,31,0.967741935483871
ChIJpRm_M2GAhYAREu3rUbBzhac,One Medical Primary Care Clinic - Four Embarcadero Center,108,43,0.8837209302325582
ChIJpRm_M2GAhYAREu3rUbBzhac,One Medical Primary Care Clinic - Four Embarcadero Center,26,7,1.0
ChIJ5VMg_XlTw4ARZiq9-8Nqf5E,Inland HealthCare Group,5,2,1.0
ChIJ00lzHFpihYARQXh30LMVsmI,STAT MED Urgent Care,173,78,0.8717948717948718
ChIJ00lzHFpihYARQXh30LMVsmI,STAT MED Urgent Care,58,26,0.9230769230769231
ChIJ00lzHFpihYARQXh30LMVsmI,STAT MED Urgent Care,75,35,0.8285714285714286
ChIJ00lzHFpihYARQXh30LMVsmI,STAT MED Urgent Care,85,36,0.8888888888888888
ChIJ00lzHFpihYARQXh30LMVsmI,STAT MED Urgent Care,212,107,0.8130841121495327
ChIJc6RX5Saq3IAR5PYUWF1-qmI,Redlands Community Hospital: Emergency Room,49,19,1.0
ChIJc6RX5Saq3IAR5PYUWF1-qmI,Redlands Community Hospital: Emergency Room,128,57,0.8947368421052632
ChIJc6RX5Saq3IAR5PYUWF1-qmI,Redlands Community Hospital: Emergency Room,215,94,0.6595744680851063
ChIJc6RX5Saq3IAR5PYUWF1-qmI,Redlands Community Hospital: Emergency Room,168,65,0.8769230769230769
ChIJc6RX5Saq3IAR5PYUWF1-qmI,Redlands Community Hospital: Emergency Room,252,127,0.8110236220472441
ChIJ-2ofRS5dlIARutNkwMMEZgg,CMP Urgent Care,96,41,0.926829268292683
ChIJ-2ofRS5dlIARutNkwMMEZgg,CMP Urgent Care,76,35,0.9428571428571428
ChIJ-2ofRS5dlIARutNkwMMEZgg,CMP Urgent Care,115,46,0.8260869565217391
ChIJ-2ofRS5dlIARutNkwMMEZgg,CMP Urgent Care,135,62,0.8064516129032258
ChIJ-2ofRS5dlIARutNkwMMEZgg,CMP Urgent Care,75,41,0.8292682926829268
ChIJURIMODGUj4ARaCyxqRWc1tc,St. Francis Urgent Care Center,140,70,0.7857142857142857
ChIJURIMODGUj4ARaCyxqRWc1tc,St. Francis Urgent Care Center,191,82,0.6707317073170732
ChIJURIMODGUj4ARaCyxqRWc1tc,St. Francis Urgent Care Center,166,70,0.7285714285714285
ChIJURIMODGUj4ARaCyxqRWc1tc,St. Francis Urgent Care Center,42,20,1.0
ChIJURIMODGUj4ARaCyxqRWc1tc,St. Francis Urgent Care Center,86,33,0.7878787878787878
ChIJ7YmKik01w4AROgUKlOQLf3M,Urgent Care | Kaiser Permanente Ontario Medical Center,134,53,0.8490566037735849
ChIJ7YmKik01w4AROgUKlOQLf3M,Urgent Care | Kaiser Permanente Ontario Medical Center,223,103,0.7669902912621359
ChIJ7YmKik01w4AROgUKlOQLf3M,Urgent Care | Kaiser Permanente Ontario Medical Center,101,53,0.6415094339622641
ChIJ7YmKik01w4AROgUKlOQLf3M,Urgent Care | Kaiser Permanente Ontario Medical Center,71,30,0.8666666666666667
ChIJ7YmKik01w4AROgUKlOQLf3M,Urgent Care | Kaiser Permanente Ontario Medical Center,93,41,0.8048780487804879
ChIJIb3uMpyC3IAR6TVhybZvlBw,i-Care Urgent Care,59,28,0.9285714285714286
ChIJIb3uMpyC3IAR6TVhybZvlBw,i-Care Urgent Care,51,24,0.9583333333333334
ChIJIb3uMpyC3IAR6TVhybZvlBw,i-Care Urgent Care,93,36,0.9722222222222222
ChIJIb3uMpyC3IAR6TVhybZvlBw,i-Care Urgent Care,61,21,0.9523809523809523
ChIJIb3uMpyC3IAR6TVhybZvlBw,i-Care Urgent Care,103,38,0.868421052631579
ChIJ3RCBXzcV6YAR2XpLr1aYKts,American Indian Health & Services,27,15,1.0
ChIJ3RCBXzcV6YAR2XpLr1aYKts,American Indian Health & Services,51,21,0.9523809523809523
ChIJ3RCBXzcV6YAR2XpLr1aYKts,American Indian Health & Services,50,22,0.9545454545454546
ChIJ3RCBXzcV6YAR2XpLr1aYKts,American Indian Health & Services,80,31,0.8064516129032258
ChIJ3RCBXzcV6YAR2XpLr1aYKts,American Indian Health & Services,28,16,0.9375
ChIJS4F1vplp6oARUu6xK9MIyBE,BIENESTAR COMMUNITY CLINIC,132,61,0.819672131147541
ChIJS4F1vplp6oARUu6xK9MIyBE,BIENESTAR COMMUNITY CLINIC,52,17,0.8823529411764706
ChIJS4F1vplp6oARUu6xK9MIyBE,BIENESTAR COMMUNITY CLINIC,2,1,1.0
ChIJQUhoiAB-hYARBMnGvuFSSsk,Alta Bates Summit Medical Center - Alta Bates,43,20,0.85
ChIJQUhoiAB-hYARBMnGvuFSSsk,Alta Bates Summit Medical Center - Alta Bates,63,32,1.0
ChIJeZp9PTh5j4ARrQeWkym0bPA,Emergency Room | Kaiser Permanente South San Francisco Medical Center,128,64,0.796875
ChIJeZp9PTh5j4ARrQeWkym0bPA,Emergency Room | Kaiser Permanente South San Francisco Medical Center,74,40,0.875
ChIJeZp9PTh5j4ARrQeWkym0bPA,Emergency Room | Kaiser Permanente South San Francisco Medical Center,93,40,0.875
ChIJeZp9PTh5j4ARrQeWkym0bPA,Emergency Room | Kaiser Permanente South San Francisco Medical Center,209,88,0.7272727272727273
ChIJeZp9PTh5j4ARrQeWkym0bPA,Emergency Room | Kaiser Permanente South San Francisco Medical Center,151,70,0.8857142857142857
ChIJhaHV18VT2YARIi6GGBA68Rc,South coast Medical clinic,70,24,0.9166666666666666
ChIJhaHV18VT2YARIi6GGBA68Rc,South coast Medical clinic,41,18,0.9444444444444444
ChIJhaHV18VT2YARIi6GGBA68Rc,South coast Medical clinic,112,35,0.8285714285714286
ChIJhaHV18VT2YARIi6GGBA68Rc,South coast Medical clinic,16,5,1.0
ChIJhaHV18VT2YARIi6GGBA68Rc,South coast Medical clinic,40,13,1.0
ChIJP3_nIJlp6oAR09_mEwiaQ2A,Emergency Room at Dignity Health - Memorial Hospital,66,24,0.9583333333333334
ChIJP3_nIJlp6oAR09_mEwiaQ2A,Emergency Room at Dignity Health - Memorial Hospital,56,20,0.9
ChIJP3_nIJlp6oAR09_mEwiaQ2A,Emergency Room at Dignity Health - Memorial Hospital,147,66,0.6818181818181818
ChIJP3_nIJlp6oAR09_mEwiaQ2A,Emergency Room at Dignity Health - Memorial Hospital,200,97,0.6288659793814433
ChIJP3_nIJlp6oAR09_mEwiaQ2A,Emergency Room at Dignity Health - Memorial Hospital,90,36,0.8333333333333334
ChIJsxyPOYChmoARg8TEoH-osiA,Urgencias,19,8,1.0
ChIJsxyPOYChmoARg8TEoH-osiA,Urgencias,9,5,1.0
ChIJo-obnm-ZwoAR2u_lUbAgz04,Reseda Family Medical Group and Urgent Care Clinic,95,41,0.9024390243902439
ChIJo-obnm-ZwoAR2u_lUbAgz04,Reseda Family Medical Group and Urgent Care Clinic,43,15,0.9333333333333333
ChIJo-obnm-ZwoAR2u_lUbAgz04,Reseda Family Medical Group and Urgent Care Clinic,75,35,0.7428571428571429
ChIJo-obnm-ZwoAR2u_lUbAgz04,Reseda Family Medical Group and Urgent Care Clinic,21,12,1.0
ChIJo-obnm-ZwoAR2u_lUbAgz04,Reseda Family Medical Group and Urgent Care Clinic,138,61,0.7868852459016393
ChIJMTDFQXJXkIARLTw6089CLAg,Advance Urgent Care and Med Spa,72,29,0.9655172413793104
ChIJMTDFQXJXkIARLTw6089CLAg,Advance Urgent Care and Med Spa,237,104,0.6826923076923077
ChIJMTDFQXJXkIARLTw6089CLAg,Advance Urgent Care and Med Spa,86,33,1.0
ChIJMTDFQXJXkIARLTw6089CLAg,Advance Urgent Care and Med Spa,17,7,1.0
ChIJMTDFQXJXkIARLTw6089CLAg,Advance Urgent Care and Med Spa,44,17,0.9411764705882353
ChIJHdt5KQmVwoARmywm--yh6dk,Exer Urgent Care - North Hollywood,150,63,0.9206349206349206
ChIJHdt5KQmVwoARmywm--yh6dk,Exer Urgent Care - North Hollywood,105,46,0.8043478260869565
ChIJHdt5KQmVwoARmywm--yh6dk,Exer Urgent Care - North Hollywood,43,18,0.8888888888888888
ChIJHdt5KQmVwoARmywm--yh6dk,Exer Urgent Care - North Hollywood,38,17,0.9411764705882353
ChIJHdt5KQmVwoARmywm--yh6dk,Exer Urgent Care - North Hollywood,304,119,0.7983193277310925
ChIJTciZQ9uw3IARvxFoxtRidFM,Parkview Community Hospital Medical Center Emergency Room,89,33,0.8484848484848485
ChIJTciZQ9uw3IARvxFoxtRidFM,Parkview Community Hospital Medical Center Emergency Room,274,112,0.7946428571428571
ChIJTciZQ9uw3IARvxFoxtRidFM,Parkview Community Hospital Medical Center Emergency Room,111,42,0.9285714285714286
ChIJTciZQ9uw3IARvxFoxtRidFM,Parkview Community Hospital Medical Center Emergency Room,302,118,0.6186440677966102
ChIJTciZQ9uw3IARvxFoxtRidFM,Parkview Community Hospital Medical Center Emergency Room,40,19,0.8947368421052632
ChIJm3lPX0Ct6YARBchZwyoWxfM,Ventura county medical center inpatient psychiatric unit,30,13,1.0
ChIJm3lPX0Ct6YARBchZwyoWxfM,Ventura county medical center inpatient psychiatric unit,141,67,0.9104477611940298
ChIJm3lPX0Ct6YARBchZwyoWxfM,Ventura county medical center inpatient psychiatric unit,38,20,0.9
ChIJm3lPX0Ct6YARBchZwyoWxfM,Ventura county medical center inpatient psychiatric unit,31,13,0.9230769230769231
ChIJm3lPX0Ct6YARBchZwyoWxfM,Ventura county medical center inpatient psychiatric unit,43,18,0.9444444444444444
ChIJmfNXxMcg6IARj2zQmMvBu1o,Canyon Medical Center & Urgent Care,38,17,1.0
ChIJmfNXxMcg6IARj2zQmMvBu1o,Canyon Medical Center & Urgent Care,58,27,0.8148148148148148
ChIJmfNXxMcg6IARj2zQmMvBu1o,Canyon Medical Center & Urgent Care,29,9,0.8888888888888888
ChIJmfNXxMcg6IARj2zQmMvBu1o,Canyon Medical Center & Urgent Care,186,80,0.8375
ChIJmfNXxMcg6IARj2zQmMvBu1o,Canyon Medical Center & Urgent Care,30,16,0.9375
ChIJl89JBbnAlIARykveU-Zeo8U,Primary and Specialty Care: Adventist Health,63,21,0.7619047619047619
ChIJl89JBbnAlIARykveU-Zeo8U,Primary and Specialty Care: Adventist Health,45,20,1.0
ChIJl89JBbnAlIARykveU-Zeo8U,Primary and Specialty Care: Adventist Health,52,22,0.8181818181818182
ChIJl89JBbnAlIARykveU-Zeo8U,Primary and Specialty Care: Adventist Health,26,7,1.0
ChIJl89JBbnAlIARykveU-Zeo8U,Primary and Specialty Care: Adventist Health,50,23,0.9130434782608695
ChIJG03tSYt3hYARs3r7C0mbJoY,Alliance Medical Group in San Pablo,56,28,1.0
ChIJG03tSYt3hYARs3r7C0mbJoY,Alliance Medical Group in San Pablo,98,43,0.9534883720930233
ChIJG03tSYt3hYARs3r7C0mbJoY,Alliance Medical Group in San Pablo,31,17,0.9411764705882353
ChIJG03tSYt3hYARs3r7C0mbJoY,Alliance Medical Group in San Pablo,244,84,0.7380952380952381
ChIJG03tSYt3hYARs3r7C0mbJoY,Alliance Medical Group in San Pablo,24,13,0.9230769230769231
ChIJ4wviIxixwoARmjocW7QtujM,Manchester Urgent Care,64,33,0.9393939393939394
ChIJ4wviIxixwoARmjocW7QtujM,Manchester Urgent Care,86,30,0.9
ChIJ4wviIxixwoARmjocW7QtujM,Manchester Urgent Care,72,31,0.9032258064516129
ChIJ4wviIxixwoARmjocW7QtujM,Manchester Urgent Care,120,51,0.9019607843137255
ChIJ4wviIxixwoARmjocW7QtujM,Manchester Urgent Care,163,78,0.8461538461538461
ChIJM_9Vm0Pz24ARBXGyPMt8mJg,Carbon Health Urgent Care Escondido - Felicita Town Center,99,50,0.92
ChIJM_9Vm0Pz24ARBXGyPMt8mJg,Carbon Health Urgent Care Escondido - Felicita Town Center,101,35,0.9142857142857143
ChIJM_9Vm0Pz24ARBXGyPMt8mJg,Carbon Health Urgent Care Escondido - Felicita Town Center,56,20,0.95
ChIJM_9Vm0Pz24ARBXGyPMt8mJg,Carbon Health Urgent Care Escondido - Felicita Town Center,60,27,0.9259259259259259
ChIJM_9Vm0Pz24ARBXGyPMt8mJg,Carbon Health Urgent Care Escondido - Felicita Town Center,104,41,0.8780487804878049
ChIJN9HDFg1mlIARF3Y1XNHX03I,Ashlan Medical Clinic- General Family Practice,174,61,0.6065573770491803
ChIJN9HDFg1mlIARF3Y1XNHX03I,Ashlan Medical Clinic- General Family Practice,137,55,0.8
ChIJN9HDFg1mlIARF3Y1XNHX03I,Ashlan Medical Clinic- General Family Practice,75,28,0.8571428571428571
ChIJN9HDFg1mlIARF3Y1XNHX03I,Ashlan Medical Clinic- General Family Practice,56,22,1.0
ChIJN9HDFg1mlIARF3Y1XNHX03I,Ashlan Medical Clinic- General Family Practice,40,17,0.8823529411764706
ChIJ03I5ZgFAjoARsbmCy2bxYLU,Pediatrics: Santa Cruz Main Clinic: Palo Alto Medical Foundation,81,31,0.9354838709677419
ChIJ03I5ZgFAjoARsbmCy2bxYLU,Pediatrics: Santa Cruz Main Clinic: Palo Alto Medical Foundation,115,45,0.8
ChIJ03I5ZgFAjoARsbmCy2bxYLU,Pediatrics: Santa Cruz Main Clinic: Palo Alto Medical Foundation,85,34,0.7058823529411765
ChIJ03I5ZgFAjoARsbmCy2bxYLU,Pediatrics: Santa Cruz Main Clinic: Palo Alto Medical Foundation,30,16,0.875
ChIJ03I5ZgFAjoARsbmCy2bxYLU,Pediatrics: Santa Cruz Main Clinic: Palo Alto Medical Foundation,40,17,0.8235294117647058
ChIJWSX76oJTkIARvXlz3khOlKQ,Golden Valley Health Centers - Urgent Care,9,5,1.0
ChIJWSX76oJTkIARvXlz3khOlKQ,Golden Valley Health Centers - Urgent Care,34,18,1.0
ChIJy3DOEqPFmoARWwbQouFcj-Q,Kaiser Permanente Urgent Care,40,23,0.9565217391304348
ChIJy3DOEqPFmoARWwbQouFcj-Q,Kaiser Permanente Urgent Care,44,19,0.8947368421052632
ChIJy3DOEqPFmoARWwbQouFcj-Q,Kaiser Permanente Urgent Care,25,9,0.8888888888888888
ChIJy3DOEqPFmoARWwbQouFcj-Q,Kaiser Permanente Urgent Care,144,72,0.5972222222222222
ChIJy3DOEqPFmoARWwbQouFcj-Q,Kaiser Permanente Urgent Care,23,12,0.8333333333333334
ChIJw59LIWh-hYARi2Cc6Q37fDs,One Medical Primary Care Clinic - Emeryville,215,114,0.8333333333333334
ChIJw59LIWh-hYARi2Cc6Q37fDs,One Medical Primary Care Clinic - Emeryville,164,76,0.868421052631579
ChIJw59LIWh-hYARi2Cc6Q37fDs,One Medical Primary Care Clinic - Emeryville,29,13,1.0
ChIJw59LIWh-hYARi2Cc6Q37fDs,One Medical Primary Care Clinic - Emeryville,73,34,0.9411764705882353
ChIJw59LIWh-hYARi2Cc6Q37fDs,One Medical Primary Care Clinic - Emeryville,56,24,0.7916666666666666
ChIJP4-lo3bDlIARdG06FG2ZzEQ,Adventist Health Community Care,77,37,0.918918918918919
ChIJP4-lo3bDlIARdG06FG2ZzEQ,Adventist Health Community Care,30,15,0.9333333333333333
ChIJP4-lo3bDlIARdG06FG2ZzEQ,Adventist Health Community Care,126,67,0.8955223880597015
ChIJP4-lo3bDlIARdG06FG2ZzEQ,Adventist Health Community Care,143,51,0.8431372549019608
ChIJP4-lo3bDlIARdG06FG2ZzEQ,Adventist Health Community Care,45,22,0.9545454545454546
ChIJxfDRY-T524ARKri0nkuRq2U,Stitch Veterinary Urgent Care and Surgery,69,28,0.9642857142857143
ChIJxfDRY-T524ARKri0nkuRq2U,Stitch Veterinary Urgent Care and Surgery,97,38,0.9210526315789473
ChIJxfDRY-T524ARKri0nkuRq2U,Stitch Veterinary Urgent Care and Surgery,288,137,0.6715328467153284
ChIJxfDRY-T524ARKri0nkuRq2U,Stitch Veterinary Urgent Care and Surgery,34,14,1.0
ChIJxfDRY-T524ARKri0nkuRq2U,Stitch Veterinary Urgent Care and Surgery,113,51,0.8627450980392157
ChIJw8PtDihLhIAR1jA7a3DD11Q,West Coast Medical Assistant Training Program,127,64,0.9375
ChIJw8PtDihLhIAR1jA7a3DD11Q,West Coast Medical Assistant Training Program,89,39,0.9487179487179487
